engine,context_len,inject_pos_pct,ttft_cachehit_ms,ttft_contaminated_ms,penalty_ratio,stddev_hit_ms,stddev_cont_ms,reps,model,pre_tokens,post_tokens,notes
sglang-0.5.12,32768,75,65.838,426.643,6.4802,1.266,2.727,5,Qwen/Qwen2.5-7B-Instruct,24456,8152,RadixAttention prefix-cache break via mid-prompt UUID tool injection
hf-transformers-5.6,4096,25,20.468,160.765,7.8545,28.721,12.518,5,Qwen/Qwen2.5-7B-Instruct,1004,3012,"raw recompute: hit=suffix-only prefill, cont=(L-P) recompute from inject pt"
hf-transformers-5.6,4096,50,20.871,118.338,5.6701,0.276,187.9,5,Qwen/Qwen2.5-7B-Instruct,2008,2008,"raw recompute: hit=suffix-only prefill, cont=(L-P) recompute from inject pt"
hf-transformers-5.6,4096,75,20.831,79.338,3.8086,0.407,10.553,5,Qwen/Qwen2.5-7B-Instruct,3012,1004,"raw recompute: hit=suffix-only prefill, cont=(L-P) recompute from inject pt"
hf-transformers-5.6,8192,25,29.011,315.213,10.8652,10.895,29.867,5,Qwen/Qwen2.5-7B-Instruct,2028,6084,"raw recompute: hit=suffix-only prefill, cont=(L-P) recompute from inject pt"
hf-transformers-5.6,8192,50,28.067,212.917,7.5861,1.144,12.95,5,Qwen/Qwen2.5-7B-Instruct,4056,4056,"raw recompute: hit=suffix-only prefill, cont=(L-P) recompute from inject pt"
hf-transformers-5.6,8192,75,28.831,128.893,4.4706,0.513,8.627,5,Qwen/Qwen2.5-7B-Instruct,6084,2028,"raw recompute: hit=suffix-only prefill, cont=(L-P) recompute from inject pt"
hf-transformers-5.6,16384,25,43.361,869.211,20.0458,10.701,62.115,5,Qwen/Qwen2.5-7B-Instruct,4076,12228,"raw recompute: hit=suffix-only prefill, cont=(L-P) recompute from inject pt"
hf-transformers-5.6,16384,50,42.346,579.601,13.6871,1.349,54.063,5,Qwen/Qwen2.5-7B-Instruct,8152,8152,"raw recompute: hit=suffix-only prefill, cont=(L-P) recompute from inject pt"
hf-transformers-5.6,16384,75,43.089,303.632,7.0467,0.928,31.41,5,Qwen/Qwen2.5-7B-Instruct,12228,4076,"raw recompute: hit=suffix-only prefill, cont=(L-P) recompute from inject pt"
hf-transformers-5.6,24576,25,54.332,1428.75,26.2965,9.482,10.49,5,Qwen/Qwen2.5-7B-Instruct,6124,18372,"raw recompute: hit=suffix-only prefill, cont=(L-P) recompute from inject pt"
hf-transformers-5.6,24576,50,54.488,1175.49,21.5734,0.209,88.405,5,Qwen/Qwen2.5-7B-Instruct,12248,12248,"raw recompute: hit=suffix-only prefill, cont=(L-P) recompute from inject pt"
hf-transformers-5.6,24576,75,54.254,592.893,10.9281,0.343,52.201,5,Qwen/Qwen2.5-7B-Instruct,18372,6124,"raw recompute: hit=suffix-only prefill, cont=(L-P) recompute from inject pt"
hf-transformers-5.6,32768,25,65.958,2262.614,34.3041,9.167,206.501,5,Qwen/Qwen2.5-7B-Instruct,8172,24516,"raw recompute: hit=suffix-only prefill, cont=(L-P) recompute from inject pt"
hf-transformers-5.6,32768,50,65.38,1833.763,28.0478,0.944,163.178,5,Qwen/Qwen2.5-7B-Instruct,16344,16344,"raw recompute: hit=suffix-only prefill, cont=(L-P) recompute from inject pt"
hf-transformers-5.6,32768,75,65.637,914.868,13.9382,0.926,85.646,5,Qwen/Qwen2.5-7B-Instruct,24516,8172,"raw recompute: hit=suffix-only prefill, cont=(L-P) recompute from inject pt"
