instance_id,repo,ps_chars,prefix_pages,prefix_tokens,cow_s,clone_s,speedup,cow_bytes_written,clone_bytes_written,cow_live_bytes,clone_live_bytes,bytes_written_reduction_pct,mem_reduction_pct
sympy__sympy-20916,sympy/sympy,143,428,6835,0.2670315313152969,0.314084448851645,1.1762073463930762,1442840576,14361296896,1619001344,8078229504,89.95327102803739,79.95846313603323
django__django-16100,django/django,281,430,6870,0.7020081640221179,0.2637621508911252,0.375725190117326,1442840576,14428405760,1623195648,8115978240,90.0,80.0
django__django-11119,django/django,369,431,6892,0.25218938337638974,0.25090374192222953,0.994902079393876,1442840576,14461960192,1625292800,8134852608,90.02320185614849,80.02062387213199
django__django-13809,django/django,457,433,6914,0.27674387115985155,0.28050602599978447,1.0135943564862537,1442840576,14529069056,1629487104,8172601344,90.06928406466513,80.06158583525789
scikit-learn__scikit-learn-12682,scikit-learn/scikit-learn,518,434,6929,0.29880258115008473,0.2566619720309973,0.858968389908517,1442840576,14562623488,1631584256,8191475712,90.09216589861751,80.08192524321557
django__django-13551,django/django,603,435,6950,0.2672954136505723,0.24925101920962334,0.9324926896630636,1476395008,14596177920,1650458624,8210350080,89.88505747126436,79.8978288633461
sympy__sympy-14531,sympy/sympy,668,436,6967,0.2556016189046204,0.32741723908111453,1.2809670004605591,1476395008,14629732352,1652555776,8229224448,89.90825688073394,79.9184505606524
django__django-16662,django/django,740,437,6985,0.2603460540995002,0.25625552609562874,0.9842881121512673,1476395008,14663286784,1654652928,8248098816,89.93135011441647,79.93897787948131
django__django-11400,django/django,799,438,6999,0.2919589299708605,0.25252947583794594,0.8649486277509996,1476395008,14696841216,1656750080,8266973184,89.95433789954338,79.95941146626078
matplotlib__matplotlib-25311,matplotlib/matplotlib,908,440,7027,0.25121199572458863,0.2713164919987321,1.0800300010202724,1476395008,14763950080,1660944384,8304721920,90.0,80.0
django__django-12262,django/django,1030,442,7057,0.26341492775827646,0.2586842500604689,0.9820409657946619,1476395008,14831058944,1665138688,8342470656,90.04524886877829,80.0402212166918
sympy__sympy-12419,sympy/sympy,1141,443,7085,0.3083419306203723,0.31255354918539524,1.013658922601118,1476395008,14864613376,1667235840,8361345024,90.06772009029346,80.0601956358164
scikit-learn__scikit-learn-13439,scikit-learn/scikit-learn,1234,445,7108,0.26896346313878894,0.27916708355769515,1.0379368271802814,1476395008,14931722240,1671430144,8399093760,90.11235955056179,80.09987515605494
astropy__astropy-14365,astropy/astropy,1339,446,7134,0.26062799291685224,0.7861080430448055,3.01620725481931,1509949440,14965276672,1690304512,8417968128,89.91031390134529,79.92027902341803
pydata__xarray-3677,pydata/xarray,1456,448,7164,0.2652582828886807,0.26622474193573,1.0036434641607586,1509949440,15032385536,1694498816,8455716864,89.95535714285714,79.96031746031747
sympy__sympy-16450,sympy/sympy,1610,451,7202,0.3001677989959717,0.2722095218487084,0.9068578400455324,1509949440,15133048832,1700790272,8512339968,90.02217294900223,80.01970928800198
django__django-15503,django/django,1797,454,7249,0.26840409310534596,0.3032232252880931,1.1297265320357128,1509949440,15233712128,1707081728,8568963072,90.08810572687224,80.07831620166421
django__django-11740,django/django,1973,456,7293,0.26489179907366633,0.26823139283806086,1.0126073882848512,1543503872,15300820992,1728053248,8606711808,89.91228070175438,79.92202729044836
django__django-13810,django/django,2259,461,7364,0.3066275673918426,0.2750717247836292,0.8970873921199398,1543503872,15468593152,1738539008,8701083648,90.02169197396964,80.01928175463966
matplotlib__matplotlib-20859,matplotlib/matplotlib,2582,466,7445,0.2755370680242777,0.3302758331410587,1.1986620729808954,1577058304,15636365312,1765801984,8795455488,89.91416309012875,79.9237005245589
django__django-14752,django/django,2847,470,7511,0.2717748428694904,0.2817205647006631,1.036595446900686,1577058304,15770583040,1774190592,8870952960,90.0,80.0
sympy__sympy-20428,sympy/sympy,3710,483,7727,0.3468302469700575,0.29080484714359045,0.8384644928869084,1610612736,16206790656,1818230784,9116319744,90.06211180124224,80.0552104899931
astropy__astropy-14309,astropy/astropy,4910,502,8027,0.29508808720856905,0.35214761923998594,1.1933644037317137,1677721600,16844324864,1891631104,9474932736,90.0398406374502,80.03541389995573
pylint-dev__pylint-7080,pylint-dev/pylint,24770,813,12992,0.6012103292159736,0.6208369191735983,1.0326451310030207,2717908992,27279753216,3063939072,15344861184,90.03690036900369,80.03280032800329
