batch,seqlen,method,rep,ms,tokens_per_s
1,512,sdpa_contig,0,0.04121600091457367,24262.421821870823
1,512,paged_minimal,0,0.06735999882221222,14845.605960287608
1,512,sdpa_contig,1,0.03142400085926056,31822.809720465717
1,512,paged_minimal,1,0.07731200009584427,12934.602632971499
1,512,sdpa_contig,2,0.027648000046610832,36168.98142050541
1,512,paged_minimal,2,0.0729919970035553,13700.132083676132
1,512,sdpa_contig,3,0.02611199952661991,38296.569321723095
1,512,paged_minimal,3,0.07014399766921997,14256.387335032261
1,512,sdpa_contig,4,0.02598400041460991,38485.221060793025
1,512,paged_minimal,4,0.07091200351715088,14101.984860125107
1,512,sdpa_contig,5,0.02521600015461445,39657.360162928264
1,512,paged_minimal,5,0.06867200136184692,14561.975480091136
1,512,sdpa_contig,6,0.024383999407291412,41010.49968451753
1,512,paged_minimal,6,0.07011199742555618,14262.894179584375
1,512,sdpa_contig,7,0.024447999894618988,40903.141537566036
1,512,paged_minimal,7,0.06867200136184692,14561.975480091136
1,512,sdpa_contig,8,0.02457600086927414,40690.102727422935
1,512,paged_minimal,8,0.06857600063085556,14582.361041773163
1,512,sdpa_contig,9,0.024831999093294144,40270.62002712657
1,512,paged_minimal,9,0.0681919977068901,14664.477264594936
1,512,sdpa_contig,10,0.02393599972128868,41778.075352775006
1,512,paged_minimal,10,0.0681919977068901,14664.477264594936
1,512,sdpa_contig,11,0.023744000121951103,42115.902748648885
1,512,paged_minimal,11,0.06982400268316269,14321.722639386002
1,512,sdpa_contig,12,0.024064000695943832,41555.84986201224
1,512,paged_minimal,12,0.06918399780988693,14454.209523247473
1,512,sdpa_contig,13,0.023679999634623528,42229.7303813239
1,512,paged_minimal,13,0.06815999746322632,14671.362048385052
1,512,sdpa_contig,14,0.030880000442266464,32383.419225320584
1,512,paged_minimal,14,0.0681919977068901,14664.477264594936
1,512,sdpa_contig,15,0.024831999093294144,40270.62002712657
1,512,paged_minimal,15,0.06835199892520905,14630.150042783722
1,512,sdpa_contig,16,0.02489599958062172,40167.09579230429
1,512,paged_minimal,16,0.06815999746322632,14671.362048385052
1,512,sdpa_contig,17,0.02409599907696247,41500.66560037649
1,512,paged_minimal,17,0.06896000355482101,14501.159345286746
1,512,sdpa_contig,18,0.024831999093294144,40270.62002712657
1,512,paged_minimal,18,0.06831999868154526,14637.002624388548
1,512,sdpa_contig,19,0.02425600029528141,41226.91242688239
1,512,paged_minimal,19,0.06803199648857117,14698.965951528293
1,512,sdpa_contig,20,0.02380800060927868,42002.68709713787
1,512,paged_minimal,20,0.0676800012588501,14775.413436760777
1,512,sdpa_contig,21,0.024032000452280045,41611.18430343258
1,512,paged_minimal,21,0.06790400296449661,14726.672307122259
