seqlen,branches,method,layers_per_step,rep,ms,ncu_available,nsys_available
1024,4,vmm_paged,28,19,1.0346239805221558,False,True
1024,4,contiguous,28,20,1.0455360412597656,False,True
1024,4,vmm_paged,28,20,1.0429120063781738,False,True
1024,4,contiguous,28,21,1.025823950767517,False,True
1024,4,vmm_paged,28,21,1.0505599975585938,False,True
1024,4,contiguous,28,22,1.0531840324401855,False,True
1024,4,vmm_paged,28,22,1.0372159481048584,False,True
1024,4,contiguous,28,23,1.0264320373535156,False,True
1024,4,vmm_paged,28,23,1.0251840353012085,False,True
1024,4,contiguous,28,24,1.0867840051651,False,True
1024,4,vmm_paged,28,24,1.0208640098571777,False,True
1024,4,contiguous,28,25,1.0179200172424316,False,True
1024,4,vmm_paged,28,25,1.0218559503555298,False,True
1024,4,contiguous,28,26,1.0149760246276855,False,True
1024,4,vmm_paged,28,26,1.0321919918060303,False,True
1024,4,contiguous,28,27,1.032480001449585,False,True
1024,4,vmm_paged,28,27,1.0470399856567383,False,True
1024,4,contiguous,28,28,1.0230079889297485,False,True
1024,4,vmm_paged,28,28,1.022528052330017,False,True
1024,4,contiguous,28,29,1.0222079753875732,False,True
1024,4,vmm_paged,28,29,1.015936017036438,False,True
1024,8,contiguous,28,0,1.033471941947937,False,True
1024,8,vmm_paged,28,0,1.026144027709961,False,True
1024,8,contiguous,28,1,1.114400029182434,False,True
1024,8,vmm_paged,28,1,1.0674879550933838,False,True
1024,8,contiguous,28,2,1.0301439762115479,False,True
1024,8,vmm_paged,28,2,1.0210239887237549,False,True
1024,8,contiguous,28,3,1.053887963294983,False,True
1024,8,vmm_paged,28,3,1.0255039930343628,False,True
1024,8,contiguous,28,4,1.0245440006256104,False,True
1024,8,vmm_paged,28,4,1.0236799716949463,False,True
1024,8,contiguous,28,5,1.0232959985733032,False,True
1024,8,vmm_paged,28,5,1.052448034286499,False,True
1024,8,contiguous,28,6,1.0716480016708374,False,True
1024,8,vmm_paged,28,6,1.0501760244369507,False,True
1024,8,contiguous,28,7,1.0241279602050781,False,True
