batch,seqlen,method,rep,ms,tokens_per_s
32,512,sdpa_contig_dense,0,0.13424000144004822,238379.02008881644
32,512,sdpa_contig_gqa,0,0.034272000193595886,933706.8107854284
32,512,flashinfer_paged,0,0.04230400174856186,756429.6207766645
32,512,sdpa_contig_dense,1,0.12383999675512314,258397.93958712448
32,512,sdpa_contig_gqa,1,0.028224000707268715,1133786.8196608578
32,512,flashinfer_paged,1,0.04016000032424927,796812.742570569
32,512,sdpa_contig_dense,2,0.11999999731779099,266666.6726271313
32,512,sdpa_contig_gqa,2,0.03574400022625923,895255.1420501416
32,512,flashinfer_paged,2,0.03872000053524971,826446.2695672746
32,512,sdpa_contig_dense,3,0.11923199892044067,268384.3287853664
32,512,sdpa_contig_gqa,3,0.026016000658273697,1230012.2690004334
32,512,flashinfer_paged,3,0.0379519984126091,843170.3556713994
32,512,sdpa_contig_dense,4,0.11932799965143204,268168.4105446745
32,512,sdpa_contig_gqa,4,0.024288000538945198,1317523.027417955
32,512,flashinfer_paged,4,0.037856001406908035,845308.5062005671
32,512,sdpa_contig_dense,5,0.11897599697113037,268961.8142705274
32,512,sdpa_contig_gqa,5,0.02396799996495247,1335113.4865984826
32,512,flashinfer_paged,5,0.03759999945759773,851063.842064334
32,512,sdpa_contig_dense,6,0.11926399916410446,268312.31741582596
32,512,sdpa_contig_gqa,6,0.023871999233961105,1340482.6167418659
32,512,flashinfer_paged,6,0.036768000572919846,870322.0055857063
32,512,sdpa_contig_dense,7,0.1196800023317337,267379.67393500835
32,512,sdpa_contig_gqa,7,0.023744000121951103,1347708.8879567643
32,512,flashinfer_paged,7,0.03776000067591667,847457.6119488684
32,512,sdpa_contig_dense,8,0.11894399672746658,269034.17474125075
32,512,sdpa_contig_gqa,8,0.023615999147295952,1355013.5990610425
32,512,flashinfer_paged,8,0.036159999668598175,884955.760322897
32,512,sdpa_contig_dense,9,0.11897599697113037,268961.8142705274
32,512,sdpa_contig_gqa,9,0.02409599907696247,1328021.2992120476
32,512,flashinfer_paged,9,0.036607999354600906,874125.8895367149
32,512,sdpa_contig_dense,10,0.11772800236940384,271812.98719051766
32,512,sdpa_contig_gqa,10,0.025248000398278236,1267427.1029472183
32,512,flashinfer_paged,10,0.03670400008559227,871839.5794839056
32,512,sdpa_contig_dense,11,0.11852800101041794,269978.3994263717
32,512,sdpa_contig_gqa,11,0.023455999791622162,1364256.4923380294
32,512,flashinfer_paged,11,0.036607999354600906,874125.8895367149
32,512,sdpa_contig_dense,12,0.12601600587368011,253935.99628984564
32,512,sdpa_contig_gqa,12,0.02380800060927868,1344085.9871084117
32,512,flashinfer_paged,12,0.03683200106024742,868809.7056593926
32,512,sdpa_contig_dense,13,0.1191679984331131,268528.4675479469
32,512,sdpa_contig_gqa,13,0.023584000766277313,1356852.0590347291
32,512,flashinfer_paged,13,0.035711999982595444,896057.3481069523
32,512,sdpa_contig_dense,14,0.11878400295972824,269396.545011613
32,512,sdpa_contig_gqa,14,0.023423999547958374,1366120.244942931
32,512,flashinfer_paged,14,0.046751998364925385,684462.7207209878
32,512,sdpa_contig_dense,15,0.11788800358772278,271444.07425805775
32,512,sdpa_contig_gqa,15,0.023296000435948372,1373626.347921095
32,512,flashinfer_paged,15,0.03798399865627289,842460.0129537795
32,512,sdpa_contig_dense,16,0.1181119978427887,270929.2924042581
32,512,sdpa_contig_gqa,16,0.02409599907696247,1328021.2992120476
32,512,flashinfer_paged,16,0.03593600168824196,890471.9082999766
32,512,sdpa_contig_dense,17,0.11772800236940384,271812.98719051766
32,512,sdpa_contig_gqa,17,0.023711999878287315,1349527.672244207
32,512,flashinfer_paged,17,0.036159999668598175,884955.760322897
32,512,sdpa_contig_dense,18,0.11894399672746658,269034.17474125075
32,512,sdpa_contig_gqa,18,0.02364799939095974,1353180.0077867517
32,512,flashinfer_paged,18,0.03619199991226196,884173.3001098483
32,512,sdpa_contig_dense,19,0.11878400295972824,269396.545011613
32,512,sdpa_contig_gqa,19,0.023584000766277313,1356852.0590347291
32,512,flashinfer_paged,19,0.036288000643253326,881834.1995358581
32,512,sdpa_contig_dense,20,0.11804799735546112,271076.17847715755
32,512,sdpa_contig_gqa,20,0.024064000695943832,1329787.1955843917
32,512,flashinfer_paged,20,0.03654399886727333,875656.7696989869
32,512,sdpa_contig_dense,21,0.11859200149774551,269832.70031586685
32,512,sdpa_contig_gqa,21,0.023455999791622162,1364256.4923380294
32,512,flashinfer_paged,21,0.03558399900794029,899280.6006109501
32,512,sdpa_contig_dense,22,0.11865600198507309,269687.15837927524
32,512,sdpa_contig_gqa,22,0.023711999878287315,1349527.672244207
32,512,flashinfer_paged,22,0.036288000643253326,881834.1995358581
32,512,sdpa_contig_dense,23,0.1181119978427887,270929.2924042581
32,512,sdpa_contig_gqa,23,0.03670400008559227,871839.5794839056
32,512,flashinfer_paged,23,0.03619199991226196,884173.3001098483
32,512,sdpa_contig_dense,24,0.11907199770212173,268744.96621828154
32,512,sdpa_contig_gqa,24,0.024768000468611717,1291989.639638183
32,512,flashinfer_paged,24,0.03574400022625923,895255.1420501416
32,512,sdpa_contig_dense,25,0.11814399808645248,270855.909045704
32,512,sdpa_contig_gqa,25,0.023584000766277313,1356852.0590347291
32,512,flashinfer_paged,25,0.036031998693943024,888099.4993313873
32,512,sdpa_contig_dense,26,0.1186240017414093,269759.90971673175
32,512,sdpa_contig_gqa,26,0.02393599972128868,1336898.4112888002
32,512,flashinfer_paged,26,0.03830400109291077,835421.8642167515
32,512,sdpa_contig_dense,27,0.1188800036907196,269178.9956808193
32,512,sdpa_contig_gqa,27,0.023615999147295952,1355013.5990610425
32,512,flashinfer_paged,27,0.03596799820661545,889679.7596624204
32,512,sdpa_contig_dense,28,0.11849600076675415,270051.3080014265
32,512,sdpa_contig_gqa,28,0.02364799939095974,1353180.0077867517
32,512,flashinfer_paged,28,0.036768000572919846,870322.0055857063
32,512,sdpa_contig_dense,29,0.11840000003576279,270270.270188635
32,512,sdpa_contig_gqa,29,0.0244159996509552,1310616.0082512985
32,512,flashinfer_paged,29,0.03593600168824196,890471.9082999766
32,512,sdpa_contig_dense,30,0.11852800101041794,269978.3994263717
32,512,sdpa_contig_gqa,30,0.02377600036561489,1345894.999491956
32,512,flashinfer_paged,30,0.036288000643253326,881834.1995358581
32,512,sdpa_contig_dense,31,0.11788800358772278,271444.07425805775
32,512,sdpa_contig_gqa,31,0.023871999233961105,1340482.6167418659
32,512,flashinfer_paged,31,0.037087999284267426,862812.7862797459
32,512,sdpa_contig_dense,32,0.11785600334405899,271517.7767108042
32,512,sdpa_contig_gqa,32,0.02703999914228916,1183431.990201274
32,512,flashinfer_paged,32,0.03651199862360954,876424.222346131
32,512,sdpa_contig_dense,33,0.11926399916410446,268312.31741582596
32,512,sdpa_contig_gqa,33,0.02332800067961216,1371742.0725200363
32,512,flashinfer_paged,33,0.03542400151491165,903342.3281254568
32,512,sdpa_contig_dense,34,0.11823999881744385,270635.9972939975
32,512,sdpa_contig_gqa,34,0.02380800060927868,1344085.9871084117
32,512,flashinfer_paged,34,0.03510399907827377,911577.0521941795
32,512,sdpa_contig_dense,35,0.11772800236940384,271812.98719051766
32,512,sdpa_contig_gqa,35,0.02304000034928322,1388888.8678335254
32,512,flashinfer_paged,35,0.03574400022625923,895255.1420501416
32,512,sdpa_contig_dense,36,0.11830399930477142,270489.5877404998
32,512,sdpa_contig_gqa,36,0.02316799946129322,1381215.5017295475
32,512,flashinfer_paged,36,0.0352960005402565,906618.2998128278
32,512,sdpa_contig_dense,37,0.11766400188207626,271960.8332892726
32,512,sdpa_contig_gqa,37,0.02755199931561947,1161440.2146801348
32,512,flashinfer_paged,37,0.03545600175857544,902527.0310480068
32,512,sdpa_contig_dense,38,0.11900799721479416,268889.49271404097
32,512,sdpa_contig_gqa,38,0.024224000051617622,1321003.9601970327
32,512,flashinfer_paged,38,0.03564799949526787,897666.0809324763
32,512,sdpa_contig_dense,39,0.11830399930477142,270489.5877404998
32,512,sdpa_contig_gqa,39,0.02377600036561489,1345894.999491956
32,512,flashinfer_paged,39,0.036031998693943024,888099.4993313873
32,512,sdpa_contig_dense,40,0.11852800101041794,269978.3994263717
32,512,sdpa_contig_gqa,40,0.023744000121951103,1347708.8879567643
32,512,flashinfer_paged,40,0.03558399900794029,899280.6006109501
32,512,sdpa_contig_dense,41,0.11804799735546112,271076.17847715755
32,512,sdpa_contig_gqa,41,0.023264000192284584,1375515.807062823
32,512,flashinfer_paged,41,0.035999998450279236,888888.9271536007
32,512,sdpa_contig_dense,42,0.1181119978427887,270929.2924042581
32,512,sdpa_contig_gqa,42,0.022943999618291855,1394700.1626729607
32,512,flashinfer_paged,42,0.03532800078392029,905797.0813498441
32,512,sdpa_contig_dense,43,0.1175680011510849,272182.90424855717
32,512,sdpa_contig_gqa,43,0.02319999970495701,1379310.362368787
32,512,flashinfer_paged,43,0.03510399907827377,911577.0521941795
32,512,sdpa_contig_dense,44,0.1175680011510849,272182.90424855717
32,512,sdpa_contig_gqa,44,0.023552000522613525,1358695.6220247662
32,512,flashinfer_paged,44,0.03651199862360954,876424.222346131
32,512,sdpa_contig_dense,45,0.11779200285673141,271665.3017516062
32,512,sdpa_contig_gqa,45,0.023615999147295952,1355013.5990610425
32,512,flashinfer_paged,45,0.035232000052928925,908265.2120778412
32,512,sdpa_contig_dense,46,0.11788800358772278,271444.07425805775
32,512,sdpa_contig_gqa,46,0.02332800067961216,1371742.0725200363
32,512,flashinfer_paged,46,0.03654399886727333,875656.7696989869
32,512,sdpa_contig_dense,47,0.11990399658679962,266880.1784003497
32,512,sdpa_contig_gqa,47,0.02304000034928322,1388888.8678335254
32,512,flashinfer_paged,47,0.03596799820661545,889679.7596624204
32,512,sdpa_contig_dense,48,0.1189119964838028,269106.57415762736
32,512,sdpa_contig_gqa,48,0.02380800060927868,1344085.9871084117
32,512,flashinfer_paged,48,0.037151999771595,861326.448017099
32,512,sdpa_contig_dense,49,0.11840000003576279,270270.270188635
