method,prefix_blocks,mean_us,stddev_us,min_us,max_us
software,1,0.5058245733380318,0.5142608174806577,0.21979212760925293,2.042856067419052
software,2,0.4494795575737953,0.19280600492786065,0.27101486921310425,1.0719522833824158
software,4,0.5511392373591661,0.14255239724173366,0.4200264811515808,1.0407529771327972
software,8,0.8249189704656601,0.16535937636062276,0.6807968020439148,1.3820827007293701
software,16,1.5041150618344545,0.1982282028401939,1.3317912817001343,2.162996679544449
software,32,2.5380286388099194,0.16071534397832343,2.393033355474472,3.053806722164154
software,64,5.003792466595769,1.0049373363827554,4.626810550689697,8.72323289513588
software,128,9.344861609861255,0.2682428076272653,9.064096957445145,10.224990546703339
hardware_vmm,1,64.75602276623249,9.28246490837736,57.27587267756462,88.87471631169319
hardware_vmm,2,114.12415187805891,11.614381353820125,105.96029460430145,152.34993770718575
hardware_vmm,4,214.65594181790948,16.527074133263987,198.08905199170113,262.9971131682396
hardware_vmm,8,415.5772621743381,10.894730263525478,399.6342420578003,437.149778008461
hardware_vmm,16,818.6001796275377,21.86950542576026,789.9529300630093,861.2009696662426
hardware_vmm,32,1636.3229369744658,39.45931305459493,1582.9410403966904,1708.3198763430119
hardware_vmm,64,3263.3535156492144,53.154709428727855,3180.523868650198,3324.3410289287567
hardware_vmm,128,6587.606767425314,121.88802962402582,6421.21909186244,6810.707040131092
