component,ns_median,ns_mean,ns_sd,reps
full_cow,175654.88815307617,178422.8626638651,7375.475533847249,300
d2d_copy_only,12814.532965421677,13128.44455242157,1351.2197865037328,300
scratch_va_bookkeeping_only,82159.41488742828,83907.70604213078,5531.572746479201,300
