method,seqlen,repeat,kernel,metric,unit,value
vmm,4096,0,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,smsp__inst_executed.sum,inst,"156,553,521"
contig,2048,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,dram__throughput.avg.pct_of_peak_sustained_elapsed,%,15.49
contig,2048,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,gpu__time_duration.sum,ns,"155,712"
contig,2048,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,l1tex__t_sector_hit_rate.pct,%,0
contig,2048,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sector_hit_rate.pct,%,71.42
contig,2048,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sectors_aperture_device.sum,sector,"10,731,332"
contig,2048,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sectors_aperture_peer.sum,sector,0
contig,2048,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sectors_aperture_sysmem.sum,sector,"27,654"
contig,2048,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,sm__throughput.avg.pct_of_peak_sustained_elapsed,%,67.27
contig,2048,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,smsp__inst_executed.sum,inst,"39,845,664"
contig,4096,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,dram__throughput.avg.pct_of_peak_sustained_elapsed,%,9.08
contig,4096,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,gpu__time_duration.sum,ns,"571,936"
contig,4096,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,l1tex__t_sector_hit_rate.pct,%,0
contig,4096,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sector_hit_rate.pct,%,85.89
contig,4096,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sectors_aperture_device.sum,sector,"38,419,944"
contig,4096,1,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0,lts__t_sectors_aperture_peer.sum,sector,0
